rank,record_id,title,authors_as_listed,arxiv,publication_year,frontier_labels,primary_arxiv_category,citation_count,citation_count_without_self_citations,citations_per_year,impact_proxy_score_0_100,frontier_count,placement_count,citation_source,inspire_url
50,arxiv:1906.10134,"CMB-HD: An Ultra-Deep, High Resolution Millimeter Wave Survey over Half the Sky",N. Sehgal et al.,1906.10134,2019,Cosmic | Neutrinos,astro-ph.CO,175,116,24.555800998847484,94.0409683426443,2,2,INSPIRE,https://inspirehep.net/literature/1741243
51,arxiv:2203.07984,Dark Matter In Extreme Astrophysical Environments,M. Baryakhtar et al.,2203.07984,2022,Cosmic | Theory,hep-ph,106,57,24.077425373134325,90.59590316573556,2,2,INSPIRE,https://inspirehep.net/literature/2052716
52,arxiv:2003.09084,Modern and Future Colliders,"V. Shiltsev, F. Zimmermann",2003.09084,2019,Accelerator Science and Technology,physics.acc-ph,181,153,23.806355779618293,94.45065176908751,1,1,INSPIRE,https://inspirehep.net/literature/1764966
53,arxiv:2203.09030,"Theoretical Tools for Neutrino Scattering: Interplay between Lattice QCD, EFTs, Nuclear Physics, Phenomenology, and Neutrino Event Generators",L. Alvarez Ruso et al.,2203.09030,2022,Computational | Neutrinos | Theory,hep-ph,101,36,22.9559738643435,90.22346368715083,3,3,INSPIRE,https://inspirehep.net/literature/2054044
54,arxiv:2205.01567,Higher Spin Gravity and Higher Spin Symmetry,X. Bekaert et al.,2205.01567,2022,Theory,hep-th,96,71,22.491340602950608,89.3854748603352,1,1,INSPIRE,https://inspirehep.net/literature/2076040
55,arxiv:2203.08232,Effective Field Theories in Cosmology,G. Cabass et al.,2203.08232,2022,Theory,astro-ph.CO,99,76,22.487406716417908,89.82309124767225,1,1,INSPIRE,https://inspirehep.net/literature/2053417
56,arxiv:2203.07646,Strategy for Understanding the Higgs Physics: The Cool Copper Collider,S. Dasu et al.,2203.07646,2022,Accelerator Science and Technology | Energy | Instrumentation,hep-ex,99,49,22.487406716417908,89.82309124767225,3,3,INSPIRE,https://inspirehep.net/literature/2052501
57,arxiv:2111.02442,The Effective Vector Boson Approximation in High-Energy Muon Collisions,R. Ruiz et al.,2111.02442,2021,Accelerator Science and Technology | Computational | Energy | Theory,hep-ph,104,87,21.831034482758618,90.13035381750466,4,4,INSPIRE,https://inspirehep.net/literature/1960240
58,arxiv:2202.11012,The Analytic Conformal Bootstrap,T. Hartman et al.,2202.11012,2022,Theory,hep-th,95,90,21.300644567219155,89.0316573556797,1,1,INSPIRE,https://inspirehep.net/literature/2036958
59,arxiv:2203.12169,Neutrinoless Double-Beta Decay: A Roadmap for Matching Theory to Experiment,V. Cirigliano et al.,2203.12169,2022,Neutrinos | Rare Processes and Precision Measurements | Theory,hep-ph,93,70,21.21689569019363,88.78026070763501,3,3,INSPIRE,https://inspirehep.net/literature/2057341
60,arxiv:2203.08059,KATRIN: Status and Prospects for the Neutrino Mass and Beyond,M. Aker et al.,2203.08059,2022,Neutrinos,nucl-ex,93,73,21.12453358208955,88.7243947858473,1,1,INSPIRE,https://inspirehep.net/literature/2052318
61,arxiv:2203.09186,The CLIC Project,O. Brunner et al.,2203.09186,2022,Accelerator Science and Technology | Energy,physics.acc-ph,92,82,20.923412204234126,88.4729981378026,2,2,INSPIRE,https://inspirehep.net/literature/2054221
62,arxiv:2110.15800,C3: A 'Cool' Route to the Higgs Boson and Beyond,M. Bai et al.,2110.15800,2021,Accelerator Science and Technology | Energy,hep-ex,99,55,20.698196908986834,89.45996275605214,2,2,INSPIRE,https://inspirehep.net/literature/1955742
63,arxiv:2203.06380,Astrophysical and Cosmological Probes of Dark Matter,K. K. Boddy et al.,2203.06380,2022,Theory,hep-ph,89,67,20.178305400372437,88.13780260707634,1,1,INSPIRE,https://inspirehep.net/literature/2051118
64,arxiv:2203.06508,Ultraheavy Particle Dark Matter,D. Carney et al.,2203.06508,2022,Cosmic | Instrumentation | Theory,hep-ph,89,47,20.178305400372437,88.13780260707634,3,3,INSPIRE,https://inspirehep.net/literature/2050968
65,arxiv:2203.07964,Simulated Detector Performance at the Muon Collider,N. Bartosik et al.,2203.07964,2022,Energy | Instrumentation,hep-ex,87,29,19.76166044776119,87.8584729981378,2,2,INSPIRE,https://inspirehep.net/literature/2052548
66,arxiv:2203.09503,"Theory, Phenomenology, and Experimental Avenues for Dark Showers",G. Albouy et al.,2203.09503,2022,Energy | Theory,hep-ph,86,42,19.55884184308842,87.67225325884543,2,2,INSPIRE,https://inspirehep.net/literature/2054250
67,arxiv:2203.08967,Primordial Black Hole Dark Matter,S. Bird et al.,2203.08967,2022,Cosmic,hep-ph,85,72,19.31938394523958,87.48603351955308,1,1,INSPIRE,https://inspirehep.net/literature/2054306
68,arxiv:2203.08117,The Numerical Conformal Bootstrap,D. Poland et al.,2203.08117,2022,Computational | Theory,hep-th,84,81,19.080223880597014,87.2998137802607,2,2,INSPIRE,https://inspirehep.net/literature/2052264
69,arxiv:2203.08463,A Strategy for Low-Mass Dark Matter Searches with Cryogenic Detectors in the SuperCDMS SNOLAB Facility,M. F. Albakry et al.,2203.08463,2022,Cosmic | Instrumentation | Neutrinos | Underground Facilities and Infrastructure,physics.ins-det,83,60,18.86481020535159,87.048417132216,4,4,INSPIRE,https://inspirehep.net/literature/2053352
70,arxiv:2203.07349,The Project 8 Neutrino Mass Experiment,A. Ashtari Esfahani et al.,2203.07349,2022,Neutrinos,nucl-ex,83,66,18.84136109384711,86.9925512104283,1,1,INSPIRE,https://inspirehep.net/literature/2050876
71,arxiv:2203.09425,High Precision Higgs from High Energy Muon Colliders,M. Forslund et al.,2203.09425,2022,Energy,hep-ph,82,75,18.649128268991284,86.67597765363128,1,1,INSPIRE,https://inspirehep.net/literature/2054278
72,arxiv:2203.06100,DUNE Physics Summary,A. Abed Abud et al. (DUNE Collaboration),2203.06100,2022,Cosmic | Neutrinos | Rare Processes and Precision Measurements,hep-ex,82,45,18.57971464019851,86.62011173184356,3,3,INSPIRE,https://inspirehep.net/literature/2050110
73,arxiv:2203.06730,The Path Forward to N3LO,F. Caola et al.,2203.06730,2022,Theory,hep-ph,81,68,18.37593167701863,86.36871508379888,1,1,INSPIRE,https://inspirehep.net/literature/2051098
74,arxiv:2203.08310,Future Circular Lepton Collider FCC-ee: Overview and Status,I. Agapov et al.,2203.08310,2022,Accelerator Science and Technology,physics.acc-ph,80,71,18.171641791044774,86.18249534450652,1,1,INSPIRE,https://inspirehep.net/literature/2053449
75,arxiv:2203.07943,The Physics of Light Relics,C. Dvorkin et al.,2203.07943,2022,Cosmic | Theory,hep-ph,77,44,17.490205223880594,85.99627560521415,2,2,INSPIRE,https://inspirehep.net/literature/2052620
76,arxiv:2203.07354,Dark Matter Physics from Halo Measurements,K. Bechtol et al.,2203.07354,2022,Cosmic,hep-ph,75,37,17.02532628962088,85.74487895716945,1,1,INSPIRE,https://inspirehep.net/literature/2051347
77,arxiv:2207.06905,Exploring Dark Sector Portals with High Intensity Experiments,B. Batell et al.,2207.06905,2022,Cosmic | Rare Processes and Precision Measurements | Theory,hep-ph,69,62,16.94838601210491,84.8417132216015,3,3,INSPIRE,https://inspirehep.net/literature/2112364
78,arxiv:2203.05591,Tau Neutrinos in the Next Decade: from GeV to EeV,R. Mammen Abraham et al.,2203.05591,2022,Cosmic | Energy | Instrumentation | Neutrinos | Theory | Underground Facilities and Infrastructure,hep-ph,74,24,16.75666460012399,85.37243947858472,6,6,INSPIRE,https://inspirehep.net/literature/2050231
79,arxiv:2203.07377,Synergy between Cosmological and Laboratory Searches in Neutrino Physics,K. N. Abazajian et al.,2203.07377,2022,Cosmic | Neutrinos | Theory,hep-ph,73,42,16.571317588564323,85.12104283054003,3,3,INSPIRE,https://inspirehep.net/literature/2052515
80,arxiv:2201.03096,Quantum Aspects of Black Holes and the Emergence of Spacetime,R. Bousso et al.,2201.03096,2022,Theory,hep-th,75,71,16.3740286909743,85.52141527001862,1,1,INSPIRE,https://inspirehep.net/literature/2007273
81,arxiv:2206.14249,Effective Field Theories of Gravity and Compact Binary Dynamics,W. D. Goldberger.,2206.14249,2022,Theory,hep-th,66,64,16.03892215568862,84.35754189944134,1,1,INSPIRE,https://inspirehep.net/literature/2103428
82,arxiv:2203.08129,"Forward Physics, BFKL, Saturation Physics and Diffraction",M. Hentschinski et al.,2203.08129,2022,Energy,hep-ph,70,24,15.900186567164178,84.75791433891992,1,1,INSPIRE,https://inspirehep.net/literature/2052682
83,arxiv:2203.04981,Micro- and Macro-Structure of Black Holes,I. Bena et al.,2203.04981,2022,Theory,hep-th,70,56,15.841078066914497,84.7020484171322,1,1,INSPIRE,https://inspirehep.net/literature/2049605
84,arxiv:2206.12465,xFitter: An Open Source QCD Analysis Framework,H. Abdolmaleki et al. (xFitter Developers’ Team).,2206.12465,2022,Energy,hep-ph,65,28,15.753981420039814,83.92923649906889,1,1,INSPIRE,https://inspirehep.net/literature/2101813
85,arxiv:2004.13687,Challenges in Monte Carlo Event Generator Software for High-Luminosity LHC,A. Valassi et al.,2004.13687,2020,Computational | Theory,hep-ph,97,62,15.444311246730603,87.84916201117318,2,2,INSPIRE,https://inspirehep.net/literature/1793219
86,arxiv:2203.14919,Charged Lepton Flavor Violation in the Tau Sector,S. Banerjee et al.,2203.14919,2022,Rare Processes and Precision Measurements,hep-ph,67,58,15.342789968652038,84.20856610800745,1,1,INSPIRE,https://inspirehep.net/literature/2059459
87,arxiv:2203.02029,Hyper-Kamiokande Experiment,J. Bian et al. (Hyper-Kamiokande Collaboration),2203.02029,2022,Neutrinos,hep-ex,65,61,14.655092592592592,83.76163873370577,1,1,INSPIRE,https://inspirehep.net/literature/2046404
88,arxiv:2202.03285,Jet Flavour Tagging for Future Colliders with Fast Simulation,F. Bedeschi et al.,2202.03285,2022,Energy,hep-ex,65,51,14.441149635036496,83.70577281191805,1,1,INSPIRE,https://inspirehep.net/literature/2029200
89,arxiv:2203.07506,Cosmology and Fundamental Physics from the Three-Dimensional Large Scale Structure,S. Ferraro et al.,2203.07506,2022,Cosmic,astro-ph.CO,63,41,14.30127408328154,83.38919925512104,1,1,INSPIRE,https://inspirehep.net/literature/2052439
90,arxiv:2203.07651,The REDTOP Experiment: Rare η/η′ Decays To Probe New Physics,J. Elam et al. (REDTOP Collaboration),2203.07651,2022,Rare Processes and Precision Measurements,hep-ex,62,28,14.0830223880597,83.13780260707634,1,1,INSPIRE,https://inspirehep.net/literature/2052541
91,arxiv:2203.03035,Study of CP violation in Hyperon Decays at Super Charm-Tau Factories with a Polarized Electron Beam,N. Salone et al.,2203.03035,2022,Rare Processes and Precision Measurements,hep-ph,62,31,14.004638218923933,83.08193668528864,1,1,INSPIRE,https://inspirehep.net/literature/2047192
92,arxiv:2203.12714,"Searches for New Particles, Dark Matter, and Gravitational Waves with SRF Cavities",A. Berlin et al.,2203.12714,2022,Cosmic | Computational | Instrumentation | Theory,hep-ph,61,37,13.92515625,82.76536312849161,4,4,INSPIRE,https://inspirehep.net/literature/2057981
93,arxiv:2203.08771,Searches for Baryon Number Violation in Neutrino Experiments,P. S. B. Dev et al.,2203.08771,2022,Neutrinos | Rare Processes and Precision Measurements,hep-ex,61,34,13.864499066583697,82.7094972067039,2,2,INSPIRE,https://inspirehep.net/literature/2053590
94,arxiv:2204.04575,The COHERENT Experimental Program,D. Akimov et al.,2204.04575,2022,Cosmic | Instrumentation | Neutrinos,hep-ex,60,44,13.843967150979152,82.39292364990689,3,3,INSPIRE,https://inspirehep.net/literature/2065245
95,arxiv:2202.07193,Lattice QCD Calculations of Parton Physics,M. Constantinou et al.,2202.07193,2022,Computational | Energy | Theory,hep-lat,60,34,13.395476772616135,82.33705772811918,3,3,INSPIRE,https://inspirehep.net/literature/2032549
96,arxiv:2207.10618,"Frontiers of Quantum Gravity: Shared Challenges, Converging Directions",J. de Boer et al.,2207.10618,2022,Cosmic | Theory,hep-th,53,35,13.079898648648648,81.04283054003724,2,2,INSPIRE,https://inspirehep.net/literature/2120699
97,arxiv:2207.07641,Lattice QCD and Particle Physics,A. S. Kronfeld et al.,2207.07641,2022,Cosmic | Computational | Energy | Neutrinos | Rare Processes and Precision Measurements | Theory,hep-lat,53,24,13.027086137281293,80.98696461824953,6,6,INSPIRE,https://inspirehep.net/literature/2115266
98,arxiv:2203.12852,"Graph Neural Networks in Particle Physics: Implementations, Innovations, and Challenges",S. Thais et al.,2203.12852,2022,Computational,hep-ex,56,43,12.783750000000001,81.90875232774673,1,1,INSPIRE,https://inspirehep.net/literature/2057973
99,arxiv:2203.07224,Promising Technologies and R&D Directions for the Future Muon Collider Detectors,S. Jindariani et al.,2203.07224,2022,Energy | Instrumentation,physics.ins-det,56,17,12.712243629583591,81.85288640595903,2,2,INSPIRE,https://inspirehep.net/literature/2051166
100,arxiv:2203.11349,The Belle II Detector Upgrade Program,F. Forti (Belle II Collaboration).,2203.11349,2022,Instrumentation,hep-ex,55,47,12.539794007490638,81.47113594040968,1,1,INSPIRE,https://inspirehep.net/literature/2056871
101,arxiv:2203.07629,Cosmology at the Theory Frontier,R. Flauger et al.,2203.07629,2022,Theory,hep-th,55,43,12.493003731343283,81.41527001862197,1,1,INSPIRE,https://inspirehep.net/literature/2052446
102,arxiv:2203.09451,Circular Electron Positron Collider (CEPC),CEPC Accelerator Study Group,2203.09451,2022,Accelerator Science and Technology | Energy,physics.acc-ph,53,40,12.038712686567163,80.67970204841714,2,2,INSPIRE,https://inspirehep.net/literature/2054376
103,arxiv:2203.07638,Cosmic Microwave Background Measurements White Paper,C. L. Chang et al.,2203.07638,2022,Cosmic | Instrumentation | Theory,astro-ph.CO,53,37,12.038712686567163,80.67970204841714,3,3,INSPIRE,https://inspirehep.net/literature/2052414
104,arxiv:2203.06680,Early-Universe Model Building,P. Asadi et al.,2203.06680,2022,Cosmic | Theory,hep-ph,53,26,12.023757763975155,80.59590316573556,2,2,INSPIRE,https://inspirehep.net/literature/2051195
105,arxiv:2006.04824,New Physics in B Meson Mixing: Future Sensitivity and Limitations,J. Charles et al.,2006.04824,2020,Rare Processes and Precision Measurements | Theory,hep-ph,74,53,11.996671105193075,83.86405959031657,2,2,INSPIRE,https://inspirehep.net/literature/1800385
106,arxiv:2202.06703,Heavy Neutrinos at Future Linear e+e− Colliders,K. Mękała et al.,2202.06703,2022,Energy | Neutrinos,hep-ph,53,41,11.82544288332315,80.48417132216015,2,2,INSPIRE,https://inspirehep.net/literature/2032064
107,arxiv:2203.08192,Current Status and Future Prospects for the Light Dark Matter eXperiment (LDMX),T. Åkesson et al.,2203.08192,2022,Rare Processes and Precision Measurements,hep-ex,52,42,11.811567164179104,79.77653631284916,1,1,INSPIRE,https://inspirehep.net/literature/2053415
108,arxiv:2202.05838,Applications of Machine Learning to Lattice Quantum Field Theory,D. Boyda et al.,2202.05838,2022,Computational | Theory,hep-lat,53,36,11.796617915904935,80.37243947858474,2,2,INSPIRE,https://inspirehep.net/literature/2032001
109,arxiv:2203.05939,Opportunities for New Physics Searches with Heavy Ions at Colliders,David d'Enterria et al.,2203.05939,2022,Energy,hep-ph,52,31,11.782258064516128,79.66480446927375,1,1,INSPIRE,https://inspirehep.net/literature/2050432
