placement_number,record_id,title,authors_as_listed,arxiv,external_url,frontier_code,frontier,topic,paper_path,official_pdf_url
27,,An Upgrade Path for the Fermilab Accelerator Complex,R. Ainsworth et al.,2106.02133,https://arxiv.org/abs/2106.02133,AF,Accelerator Science and Technology,Accelerators for Neutrinos,papers/2106.02133.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2106.02133.pdf
28,,A Cost-Efective Upgrade Path for the Fermilab Accelerator Complex,S. Nagaitsev et al.,2111.06932,https://arxiv.org/abs/2111.06932,AF,Accelerator Science and Technology,Accelerators for Neutrinos,papers/2111.06932.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2111.06932.pdf
29,,A Call to Arms Control: Synergies between Nonproliferation Applications of Neutrino Detectors and Large-Scale Fundamental Neutrino Physics Experiments,T. Akindele et al.,2203.00042,https://arxiv.org/abs/2203.00042,AF,Accelerator Science and Technology,Accelerators for Neutrinos,papers/2203.00042.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.00042.pdf
30,,An 8 GeV Linac as the Booster Replacement in the Fermilab Power Upgrade,S. Belomestnykh et al.,2203.05052,https://arxiv.org/abs/2203.05052,AF,Accelerator Science and Technology,Accelerators for Neutrinos,papers/2203.05052.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.05052.pdf
31,,Report of the Snowmass'21 Workshop on High-Power Cyclotrons and FFAs,D. Winklehner et al.,2203.07919,https://arxiv.org/abs/2203.07919,AF,Accelerator Science and Technology,Accelerators for Neutrinos,papers/2203.07919.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.07919.pdf
32,,Design Considerations for Fermilab Multi-MW Proton Facility in the DUNE/LBNF Era,J. Eldred et al.,2203.08276,https://arxiv.org/abs/2203.08276,AF,Accelerator Science and Technology,Accelerators for Neutrinos,papers/2203.08276.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08276.pdf
33,,Enhanced NeUtrino BEams from kaon Tagging (ENUBET),A. Longhin et al. (ENUBET Collaboration),2203.08319,https://arxiv.org/abs/2203.08319,AF,Accelerator Science and Technology,Accelerators for Neutrinos,papers/2203.08319.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08319.pdf
34,,Laser Manipulation of H- Beams,A. Rakhman.,2203.08427,https://arxiv.org/abs/2203.08427,AF,Accelerator Science and Technology,Accelerators for Neutrinos,papers/2203.08427.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08427.pdf
35,,The European Spallation Source Neutrino Super Beam,A. Alekou et al.,2203.08803,https://arxiv.org/abs/2203.08803,AF,Accelerator Science and Technology,Accelerators for Neutrinos,papers/2203.08803.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08803.pdf
36,,IsoDAR Overview,J. R. Alonso et al.,2203.08804,https://arxiv.org/abs/2203.08804,AF,Accelerator Science and Technology,Accelerators for Neutrinos,papers/2203.08804.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08804.pdf
37,,Performance of the LHC Injector Chain after the Upgrade and Potential Development,"H. Bartosik, G. Rumolo.",2203.09202,https://arxiv.org/abs/2203.09202,AF,Accelerator Science and Technology,Accelerators for Neutrinos,papers/2203.09202.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.09202.pdf
38,,Tagged Neutrino Beams,M. Perrin-Terrin.,,https://hal.archives-ouvertes.fr/hal-03634918,AF,Accelerator Science and Technology,Accelerators for Neutrinos,papers/hal-03634918.pdf,https://www.slac.stanford.edu/econf/C210711/papers/hal-03634918.pdf
39,,FCC-ee: Your Questions Answered,A. Blondel et al.,1906.02693,https://arxiv.org/abs/1906.02693,AF,Accelerator Science and Technology,Accelerators for Electroweak and Higgs,papers/1906.02693.pdf,https://www.slac.stanford.edu/econf/C210711/papers/1906.02693.pdf
40,,C3: A 'Cool' Route to the Higgs Boson and Beyond,M. Bai et al.,2110.15800,https://arxiv.org/abs/2110.15800,AF,Accelerator Science and Technology,Accelerators for Electroweak and Higgs,papers/2110.15800.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2110.15800.pdf
41,,The ReLiC: Recycling Linear e+e− Collider,V. N. Litvinenko et al.,2203.06476,https://arxiv.org/abs/2203.06476,AF,Accelerator Science and Technology,Accelerators for Electroweak and Higgs,papers/2203.06476.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.06476.pdf
42,,CERC - Circular e+e- Collider using Energy-Recovery Linac,V. N. Litvinenko et al.,2203.07358,https://arxiv.org/abs/2203.07358,AF,Accelerator Science and Technology,Accelerators for Electroweak and Higgs,papers/2203.07358.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.07358.pdf
43,,The International Linear Collider,A. Aryshev et al.,2203.07622,https://arxiv.org/abs/2203.07622,AF,Accelerator Science and Technology,Accelerators for Electroweak and Higgs,papers/2203.07622.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.07622.pdf
44,,Strategy for Understanding the Higgs Physics: The Cool Copper Collider,S. Dasu et al.,2203.07646,https://arxiv.org/abs/2203.07646,AF,Accelerator Science and Technology,Accelerators for Electroweak and Higgs,papers/2203.07646.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.07646.pdf
45,,Higgs-Energy LEptoN (HELEN) Collider Based on Advanced Superconducting Radio Frequency Technology,S. Belomestnykh et al.,2203.08211,https://arxiv.org/abs/2203.08211,AF,Accelerator Science and Technology,Accelerators for Electroweak and Higgs,papers/2203.08211.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08211.pdf
46,,Future Circular Lepton Collider FCC-ee: Overview and Status,I. Agapov et al.,2203.08310,https://arxiv.org/abs/2203.08310,AF,Accelerator Science and Technology,Accelerators for Electroweak and Higgs,papers/2203.08310.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08310.pdf
47,,High Energy & High Luminosity γγ Colliders,E. Barzi et al.,2203.08353,https://arxiv.org/abs/2203.08353,AF,Accelerator Science and Technology,Accelerators for Electroweak and Higgs,papers/2203.08353.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08353.pdf
48,,XCC: An X-ray FEL-Based γγ Collider Higgs Factory,T. Barklow et al.,2203.08484,https://arxiv.org/abs/2203.08484,AF,Accelerator Science and Technology,Accelerators for Electroweak and Higgs,papers/2203.08484.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08484.pdf
49,,C^3 Demonstration Research and Development Plan,E. A. Nanni et al.,2203.09076,https://arxiv.org/abs/2203.09076,AF,Accelerator Science and Technology,Accelerators for Electroweak and Higgs,papers/2203.09076.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.09076.pdf
50,,Circular Electron Positron Collider (CEPC),CEPC Accelerator Study Group,2203.09451,https://arxiv.org/abs/2203.09451,AF,Accelerator Science and Technology,Accelerators for Electroweak and Higgs,papers/2203.09451.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.09451.pdf
51,,An Impartial Perspective for Superconducting Nb3Sn coated Copper RF Cavities for Future Accelerators,E. Barzi et al.,2203.09718,https://arxiv.org/abs/2203.09718,AF,Accelerator Science and Technology,Accelerators for Electroweak and Higgs,papers/2203.09718.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.09718.pdf
52,,The Carbon Footprint of Proposed e+e- Higgs Factories,"P. Janot, A. Blondel.",2208.10466,https://arxiv.org/abs/2208.10466,AF,Accelerator Science and Technology,Accelerators for Electroweak and Higgs,papers/2208.10466.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2208.10466.pdf
53,,Vector Boson Fusion at Multi-TeV Muon Colliders,A. Costantini et al.,2005.10289,https://arxiv.org/abs/2005.10289,AF,Accelerator Science and Technology,Multi-TeV Colliders,papers/2005.10289.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2005.10289.pdf
54,,The Effective Vector Boson Approximation in High-Energy Muon Collisions,R. Ruiz et al.,2111.02442,https://arxiv.org/abs/2111.02442,AF,Accelerator Science and Technology,Multi-TeV Colliders,papers/2111.02442.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2111.02442.pdf
55,,Axion-Like Particles at High Energy Muon Colliders,T. Han et al.,2203.05484,https://arxiv.org/abs/2203.05484,AF,Accelerator Science and Technology,Multi-TeV Colliders,papers/2203.05484.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.05484.pdf
56,,The Potential of a TeV-Scale Muon-Ion Collider,D. Acosta et al.,2203.06258,https://arxiv.org/abs/2203.06258,AF,Accelerator Science and Technology,Multi-TeV Colliders,papers/2203.06258.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.06258.pdf
57,,Strategies for Conformal REBCO Windings,J. Rogers et al.,2203.06800,https://arxiv.org/abs/2203.06800,AF,Accelerator Science and Technology,Multi-TeV Colliders,papers/2203.06800.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.06800.pdf
58,,WIMP Dark Matter at High Energy Muon Colliders,T. Han et al.,2203.07351,https://arxiv.org/abs/2203.07351,AF,Accelerator Science and Technology,Multi-TeV Colliders,papers/2203.07351.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.07351.pdf
59,,Future Circular Hadron Collider FCC-hh: Overview and Status,M. Benedikt et al.,2203.07804,https://arxiv.org/abs/2203.07804,AF,Accelerator Science and Technology,Multi-TeV Colliders,papers/2203.07804.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.07804.pdf
60,,Study Overview for Super Proton-Proton Collider,J. Tang et al.,2203.07987,https://arxiv.org/abs/2203.07987,AF,Accelerator Science and Technology,Multi-TeV Colliders,papers/2203.07987.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.07987.pdf
61,,A Muon Collider Facility for Physics Discovery,D. Stratakis et al.,2203.08033,https://arxiv.org/abs/2203.08033,AF,Accelerator Science and Technology,Multi-TeV Colliders,papers/2203.08033.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08033.pdf
62,,Hybrid Conformal REBCO Dipole for a Next Hadron Collider,P. M. McIntyre.,2203.08132,https://arxiv.org/abs/2203.08132,AF,Accelerator Science and Technology,Multi-TeV Colliders,papers/2203.08132.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08132.pdf
63,,Beam background expectations for Belle II at SuperKEKB,A. Natochii et al.,2203.05731,https://arxiv.org/abs/2203.05731,AF,Accelerator Science and Technology,Accelerators for Rare Processes and Physics Beyond Colliders,papers/2203.05731.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.05731.pdf
64,,FNAL PIP-II Accumulator Ring,W. Pellico et al.,2203.07339,https://arxiv.org/abs/2203.07339,AF,Accelerator Science and Technology,Accelerators for Rare Processes and Physics Beyond Colliders,papers/2203.07339.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.07339.pdf
65,,PIP2-BD: GeV Proton Beam Dump at Fermilab's PIP-II Linac,M. Toups et al.,2203.08079,https://arxiv.org/abs/2203.08079,AF,Accelerator Science and Technology,Accelerators for Rare Processes and Physics Beyond Colliders,papers/2203.08079.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08079.pdf
66,,SBN-BD: O(10 GeV) Proton Beam Dump at Fermilab's PIP-II Linac,M. Toups et al.,2203.08102,https://arxiv.org/abs/2203.08102,AF,Accelerator Science and Technology,Accelerators for Rare Processes and Physics Beyond Colliders,papers/2203.08102.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08102.pdf
67,,Axion Dark Matter,J. Jaeckel et al.,2203.14923,https://arxiv.org/abs/2203.14923,AF,Accelerator Science and Technology,Accelerators for Rare Processes and Physics Beyond Colliders,papers/2203.14923.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.14923.pdf
68,,LANSCE-PSR Short-Pulse Upgrade for Improved Dark Sector Particle Searches with the Coherent Captain Mills Experiment,R.G. Van de Water et al.,2204.01860,https://arxiv.org/abs/2204.01860,AF,Accelerator Science and Technology,Accelerators for Rare Processes and Physics Beyond Colliders,papers/2204.01860.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2204.01860.pdf
69,,Upgrading SuperKEKB with a Polarized Electron Beam: Discovery Potential and Proposed Implementation,S. Banerjee et al.,2205.12847,https://arxiv.org/abs/2205.12847,AF,Accelerator Science and Technology,Accelerators for Rare Processes and Physics Beyond Colliders,papers/2205.12847.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2205.12847.pdf
70,,The SLAC Linac to ESA (LESA) Beamline for Dark Sector Searches and Test Beams,T. Markiewicz et al.,2205.13215,https://arxiv.org/abs/2205.13215,AF,Accelerator Science and Technology,Accelerators for Rare Processes and Physics Beyond Colliders,papers/2205.13215.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2205.13215.pdf
71,,Channeling Acceleration in Crystals and Nanostructures and Studies of Solid Plasmas: New Opportunities,R. Ariniello et al.,2203.07459,https://arxiv.org/abs/2203.07459,AF,Accelerator Science and Technology,Advanced Accelerator Concepts,papers/2203.07459.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.07459.pdf
72,,Continuous and Coordinated Efforts of Structure Wakefield Acceleration (SWFA) Development for an Energy Frontier Machine,C. Jing et al.,2203.08275,https://arxiv.org/abs/2203.08275,AF,Accelerator Science and Technology,Advanced Accelerator Concepts,papers/2203.08275.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08275.pdf
73,,Linear Collider Based on Laser-Plasma Accelerators,C. Benedetti et al.,2203.08366,https://arxiv.org/abs/2203.08366,AF,Accelerator Science and Technology,Advanced Accelerator Concepts,papers/2203.08366.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08366.pdf
74,,Plasma-Based Particle Sources,M. Fuchs et al.,2203.08379,https://arxiv.org/abs/2203.08379,AF,Accelerator Science and Technology,Advanced Accelerator Concepts,papers/2203.08379.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08379.pdf
75,,Advanced Accelerator Linear Collider Demonstration Facility at Intermediate Energy,C. Benedetti et al.,2203.08425,https://arxiv.org/abs/2203.08425,AF,Accelerator Science and Technology,Advanced Accelerator Concepts,papers/2203.08425.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08425.pdf
76,,Laser-Driven Structure-Based Accelerators,R. J. England et al.,2203.08981,https://arxiv.org/abs/2203.08981,AF,Accelerator Science and Technology,Advanced Accelerator Concepts,papers/2203.08981.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08981.pdf
77,,Near Term Applications driven by Advanced Accelerator Concepts,C. Emma et al.,2203.09094,https://arxiv.org/abs/2203.09094,AF,Accelerator Science and Technology,Advanced Accelerator Concepts,papers/2203.09094.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.09094.pdf
78,,"AWAKE, Plasma Wakefield Acceleration of Electron Bunches for Near and Long Term Particle Physics Applications",P. Muggli (AWAKE Collaboration),2203.09198,https://arxiv.org/abs/2203.09198,AF,Accelerator Science and Technology,Advanced Accelerator Concepts,papers/2203.09198.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.09198.pdf
79,,PetaVolts per Meter Plasmonics,A. A. Sahai et al.,2203.11623,https://arxiv.org/abs/2203.11623,AF,Accelerator Science and Technology,Advanced Accelerator Concepts,papers/2203.11623.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.11623.pdf
80,,High Average Power Ultrafast Laser Technologies for Driving Future Advanced Accelerators,L. Kiani et al.,2204.10774,https://arxiv.org/abs/2204.10774,AF,Accelerator Science and Technology,Advanced Accelerator Concepts,papers/2204.10774.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2204.10774.pdf
81,,Understanding Vacuum Arcs and Gradient Limits,J. Norem et al.,2203.01847,https://arxiv.org/abs/2203.01847,AF,Accelerator Science and Technology,Accelerator Technology - RF,papers/2203.01847.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.01847.pdf
82,,Nb3Sn Superconducting Radiofrequency Cavities: a Maturing Technology for Particle Accelerators and Detectors,S. Posen et al.,2203.06752,https://arxiv.org/abs/2203.06752,AF,Accelerator Science and Technology,Accelerator Technology - RF,papers/2203.06752.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.06752.pdf
83,,Medium-Grain Niobium SRF Cavity Production Technology for Science Frontiers and Accelerator Applications,G. Myneni et al.,2203.07371,https://arxiv.org/abs/2203.07371,AF,Accelerator Science and Technology,Accelerator Technology - RF,papers/2203.07371.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.07371.pdf
84,,Sustainability Considerations for Accelerator and Collider Facilities,T. Roser.,2203.07423,https://arxiv.org/abs/2203.07423,AF,Accelerator Science and Technology,Accelerator Technology - RF,papers/2203.07423.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.07423.pdf
85,,The Need for Further Development of Magnetrons as RF Sources for HEP,T. Kroc et al.,2203.07888,https://arxiv.org/abs/2203.07888,AF,Accelerator Science and Technology,Accelerator Technology - RF,papers/2203.07888.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.07888.pdf
86,,Challenges and Opportunities of SRF Theory for Next Generation Particle Accelerators,A. Gurevich et al.,2203.08315,https://arxiv.org/abs/2203.08315,AF,Accelerator Science and Technology,Accelerator Technology - RF,papers/2203.08315.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08315.pdf
87,,Advanced RF Structures for Wakefield Acceleration and High-Gradient Research,X. Lu et al.,2203.08374,https://arxiv.org/abs/2203.08374,AF,Accelerator Science and Technology,Accelerator Technology - RF,papers/2203.08374.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08374.pdf
88,,Transformative Technology for FLASH Radiation Therapy,S. Boucher et al.,2203.11047,https://arxiv.org/abs/2203.11047,AF,Accelerator Science and Technology,Accelerator Technology - RF,papers/2203.11047.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.11047.pdf
89,,"High Efficiency, Low Cost, RF Sources for Accelerators and Colliders",R. L. Ives et al.,2203.12043,https://arxiv.org/abs/2203.12043,AF,Accelerator Science and Technology,Accelerator Technology - RF,papers/2203.12043.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.12043.pdf
90,,Plasma Processing for In-Situ Field Emission Mitigation of Superconducting Radiofrequency (SRF) Cryomodules,M. Martinello et al.,2203.12442,https://arxiv.org/abs/2203.12442,AF,Accelerator Science and Technology,Accelerator Technology - RF,papers/2203.12442.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.12442.pdf
91,,Advanced RF Sources R&D for Economical Future Colliders,B. Weatherford et al.,2203.15984,https://arxiv.org/abs/2203.15984,AF,Accelerator Science and Technology,Accelerator Technology - RF,papers/2203.15984.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.15984.pdf
92,,Feedback and Control Systems for Future Linear Colliders,D. Filippetto et al.,2204.00701,https://arxiv.org/abs/2204.00701,AF,Accelerator Science and Technology,Accelerator Technology - RF,papers/2204.00701.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2204.00701.pdf
93,,Key Directions for Research and Development of Superconducting Radio Frequency Cavities,S. Belomestnykh et al.,2204.01178,https://arxiv.org/abs/2204.01178,AF,Accelerator Science and Technology,Accelerator Technology - RF,papers/2204.01178.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2204.01178.pdf
94,,Next-Generation Superconducting RF Technology based on Advanced Thin Film Technologies and Innovative Materials for Accelerator Enhanced Performance and Energy Reach,A.- M. Valente-Feliciano et al.,2204.02536,https://arxiv.org/abs/2204.02536,AF,Accelerator Science and Technology,Accelerator Technology - RF,papers/2204.02536.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2204.02536.pdf
95,,Fast Cycling HTS Based Superconducting Accelerator Magnets: Feasibility Study and Readiness Demonstration Program Driven by Neutrino Physics and Muon Collider Needs,H. Piekarz et al.,2203.06253,https://arxiv.org/abs/2203.06253,AF,Accelerator Science and Technology,Accelerator Technology - Magnets,papers/2203.06253.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.06253.pdf
96,,Test Samples and Infrastructure for Accelerator Magnet Developments,S. Stoynev.,2203.07274,https://arxiv.org/abs/2203.07274,AF,Accelerator Science and Technology,Accelerator Technology - Magnets,papers/2203.07274.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.07274.pdf
97,,"Development and Demonstration of Next Generation Technology for Nb_3Sn Accelerator Magnets with Lower Cost, Improved Performance Uniformity, and Higher Operating Point in the 12-14 T Range",G. Ambrosio et al.,2203.07352,https://arxiv.org/abs/2203.07352,AF,Accelerator Science and Technology,Accelerator Technology - Magnets,papers/2203.07352.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.07352.pdf
