number,record_id,title,authors_as_listed,arxiv,external_url,frontiers,topics,placement_count,official_pdf_urls
14,arxiv:2112.09548,A Note on Blind Technique for New Physics Searches in Particle Physics,S. V. Chekanov et al.,2112.09548,https://arxiv.org/abs/2112.09548,EF,EF: Beyond the Standard Model - More General Explorations,1,https://www.slac.stanford.edu/econf/C210711/papers/2112.09548.pdf
15,arxiv:2203.08210,A Short Overview on Low Mass Scalars at Future Lepton Colliders,T. Robens.,2203.08210,https://arxiv.org/abs/2203.08210,EF | TF,EF: Higgs Boson as a Portal to New Physics | TF: Collider Phenomenology,2,https://www.slac.stanford.edu/econf/C210711/papers/2203.08210.pdf
16,arxiv:2209.03585,"A Spectroscopic Road Map for Cosmic Frontier: DESI, DESI-II, Stage-5",D. J. Schlegel et al.,2209.03585,https://arxiv.org/abs/2209.03585,CF,CF: Dark Energy and Cosmic Acceleration: Complementarity of Probes and New Facilities,1,https://www.slac.stanford.edu/econf/C210711/papers/2209.03585.pdf
17,arxiv:2203.13985,A Strategic Approach to Advance Magnet Technology for Next Generation Colliders,G. Ambrosio et al.,2203.13985,https://arxiv.org/abs/2203.13985,AF,AF: Accelerator Technology - Magnets,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.13985.pdf
18,arxiv:2203.08463,A Strategy for Low-Mass Dark Matter Searches with Cryogenic Detectors in the SuperCDMS SNOLAB Facility,M. F. Albakry et al.,2203.08463,https://arxiv.org/abs/2203.08463,CF | IF | NF | UF,CF: Dark Matter: Particle-like | IF: Quantum Sensors | NF: Neutrinos Beyond the Standard Model | UF: Underground Detectors,4,https://www.slac.stanford.edu/econf/C210711/papers/2203.08463.pdf
19,arxiv:2203.07287,A TPC-based Tracking System for a Future Belle II Upgrade,A. Löschke Centeno et al.,2203.07287,https://arxiv.org/abs/2203.07287,IF,IF: Micro Pattern Gas Detectors,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.07287.pdf
20,arxiv:2203.13998,A Work Proposal for a Collaborative Study of Magnet Technology for a Future Muon Collider,L. Bottura et al.,2203.13998,https://arxiv.org/abs/2203.13998,AF,AF: Accelerator Technology - Magnets,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.13998.pdf
21,arxiv:2203.06816,Accelerator and Beam Physics: Grand Challenges and Research Opportunities,S. Nagaitsev et al.,2203.06816,https://arxiv.org/abs/2203.06816,AF,AF: Beam Physics and Accelerator Education,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.06816.pdf
22,arxiv:2203.08335,Accelerator Modeling Community White Paper,S. Biedron et al.,2203.08335,https://arxiv.org/abs/2203.08335,AF | CompF,AF: General - centered on this frontier | CompF: Theoretical Calculations and Simulations,2,https://www.slac.stanford.edu/econf/C210711/papers/2203.08335.pdf
23,arxiv:2203.08748,Accessibility in High Energy Physics: Lessons from the Snowmass Process,K. A. Assamagan et al.,2203.08748,https://arxiv.org/abs/2203.08748,CEF,"CEF: Diversity, Equity, and Inclusion",1,https://www.slac.stanford.edu/econf/C210711/papers/2203.08748.pdf
24,arxiv:2203.04391,Adaptive Machine Learning for Time-Varying Systems: Towards 6D Phase Space Diagnostics of Short Intense Charged Particle Beams,"A. Scheinker, S. Gessner.",2203.04391,https://arxiv.org/abs/2203.04391,AF | CompF,AF: Beam Physics and Accelerator Education | CompF: Machine Learning,2,https://www.slac.stanford.edu/econf/C210711/papers/2203.04391.pdf
25,arxiv:2212.09524,Adding Stroboscopic Muon Information For Reduction of Systematic Uncertainties in DUNE,H. J. Frisch,2212.09524,https://arxiv.org/abs/2212.09524,IF | NF,IF: Cross-Cutting Issues and Systems Integration | NF: Neutrino Detectors,2,https://www.slac.stanford.edu/econf/C210711/papers/2212.09524.pdf
26,arxiv:2203.08425,Advanced Accelerator Linear Collider Demonstration Facility at Intermediate Energy,C. Benedetti et al.,2203.08425,https://arxiv.org/abs/2203.08425,AF,AF: Advanced Accelerator Concepts,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.08425.pdf
27,arxiv:2203.15984,Advanced RF Sources R&D for Economical Future Colliders,B. Weatherford et al.,2203.15984,https://arxiv.org/abs/2203.15984,AF,AF: Accelerator Technology - RF,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.15984.pdf
28,arxiv:2203.08374,Advanced RF Structures for Wakefield Acceleration and High-Gradient Research,X. Lu et al.,2203.08374,https://arxiv.org/abs/2203.08374,AF,AF: Accelerator Technology - RF,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.08374.pdf
29,arxiv:2203.08869,Advancing Superconducting Magnet Diagnostics for Future Colliders,M. Marchevsky et al.,2203.08869,https://arxiv.org/abs/2203.08869,AF,AF: Accelerator Technology - Magnets,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.08869.pdf
30,arxiv:2203.10074,Advancing the Landscape of Multimessenger Science in the Next Decade,K. Engel et al.,2203.10074,https://arxiv.org/abs/2203.10074,CF,CF: Cosmic Probes of Fundamental Physics,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.10074.pdf
31,arxiv:2203.05052,An 8 GeV Linac as the Booster Replacement in the Fermilab Power Upgrade,S. Belomestnykh et al.,2203.05052,https://arxiv.org/abs/2203.05052,AF | NF,AF: Accelerators for Neutrinos | NF: Artificial Neutrino Sources,2,https://www.slac.stanford.edu/econf/C210711/papers/2203.05052.pdf
32,arxiv:2203.09718,An Impartial Perspective for Superconducting Nb3Sn coated Copper RF Cavities for Future Accelerators,E. Barzi et al.,2203.09718,https://arxiv.org/abs/2203.09718,AF | EF | RPF,AF: Accelerators for Electroweak and Higgs | EF: General - cross-listed | RPF: General - cross-listed,3,https://www.slac.stanford.edu/econf/C210711/papers/2203.09718.pdf
33,arxiv:2106.02133,An Upgrade Path for the Fermilab Accelerator Complex,R. Ainsworth et al.,2106.02133,https://arxiv.org/abs/2106.02133,AF | NF,AF: Accelerators for Neutrinos | NF: Artificial Neutrino Sources,2,https://www.slac.stanford.edu/econf/C210711/papers/2106.02133.pdf
34,arxiv:2203.08811,Analysis Cyberinfrastructure: Challenges and Opportunities,K. Lannon et al.,2203.08811,https://arxiv.org/abs/2203.08811,CompF,CompF: Storage and Processing Resource Access,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.08811.pdf
35,arxiv:2203.09886,Analysis Description Language: A DSL for HEP Analysis,H. B. Prosper et al.,2203.09886,https://arxiv.org/abs/2203.09886,CompF,CompF: End User Analysis,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.09886.pdf
36,arxiv:2203.08010,Analysis Facilities for HL-LHC,D. Benjamin et al.,2203.08010,https://arxiv.org/abs/2203.08010,CompF,CompF: Storage and Processing Resource Access,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.08010.pdf
37,arxiv:2203.03700,Angular Cuts to Reduce the tau taubar+jet Background to the Higgsino Signal at the LHC,H. Baer et al.,2203.03700,https://arxiv.org/abs/2203.03700,EF,EF: Beyond the Standard Model - Model Specific Explorations,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.03700.pdf
38,arxiv:2203.08135,Anomalous Quartic Gauge Couplings at a Muon Collider,B. Abbott et al.,2203.08135,https://arxiv.org/abs/2203.08135,EF,EF: Electroweak Precision Physics and Constraining New Physics,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.08135.pdf
39,arxiv:2203.14706,"Application-Driven Engagement with Universities, Synergies with other Funding Agencies","J. Hoff, S. Memik.",2203.14706,https://arxiv.org/abs/2203.14706,CEF,CEF: Applications and Industry,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.14706.pdf
40,arxiv:2202.05838,Applications of Machine Learning to Lattice Quantum Field Theory,D. Boyda et al.,2202.05838,https://arxiv.org/abs/2202.05838,CompF | TF,CompF: Machine Learning | TF: Lattice Gauge Theory,2,https://www.slac.stanford.edu/econf/C210711/papers/2202.05838.pdf
41,arxiv:2203.06380,Astrophysical and Cosmological Probes of Dark Matter,K. K. Boddy et al.,2203.06380,https://arxiv.org/abs/2203.06380,TF,TF: Astro-Particle Physics and Cosmology,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.06380.pdf
42,arxiv:2203.09198,"AWAKE, Plasma Wakefield Acceleration of Electron Bunches for Near and Long Term Particle Physics Applications",P. Muggli (AWAKE Collaboration),2203.09198,https://arxiv.org/abs/2203.09198,AF,AF: Advanced Accelerator Concepts,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.09198.pdf
43,arxiv:2203.14923,Axion Dark Matter,J. Jaeckel et al.,2203.14923,https://arxiv.org/abs/2203.14923,AF | CF | IF | RPF | TF,AF: Accelerators for Rare Processes and Physics Beyond Colliders | CF: Dark Matter: Wave-like | IF: Quantum Sensors | RPF: Fundamental Physics in Small Experiments | TF: Astro-Particle Physics and Cosmology,5,https://www.slac.stanford.edu/econf/C210711/papers/2203.14923.pdf
44,arxiv:2203.05484,Axion-Like Particles at High Energy Muon Colliders,T. Han et al.,2203.05484,https://arxiv.org/abs/2203.05484,AF | EF | TF,AF: Multi-TeV Colliders | EF: Beyond the Standard Model - More General Explorations | TF: Collider Phenomenology,3,https://www.slac.stanford.edu/econf/C210711/papers/2203.05484.pdf
45,arxiv:2203.02760,Azimuthal Angular Correlation as a New Boosted Top Jet Substructure,"Z. Yu, C.-P. Yuan.",2203.02760,https://arxiv.org/abs/2203.02760,EF,EF: Heavy Flavor and Top Quark Physics,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.02760.pdf
46,arxiv:2209.03505,Background Monte Carlo Samples for a Future Hadron Collider,R. Gardner et al.,2209.03505,https://arxiv.org/abs/2209.03505,EF,EF: General - centered on this frontier,1,https://www.slac.stanford.edu/econf/C210711/papers/2209.03505.pdf
47,arxiv:2203.05731,Beam background expectations for Belle II at SuperKEKB,A. Natochii et al.,2203.05731,https://arxiv.org/abs/2203.05731,AF,AF: Accelerators for Rare Processes and Physics Beyond Colliders,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.05731.pdf
48,arxiv:2203.11290,Beam Test Facilities for R&D in Accelerator Science and Technologies,J. Power et al.,2203.11290,https://arxiv.org/abs/2203.11290,AF,AF: General - centered on this frontier,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.11290.pdf
49,arxiv:2203.10203,Belle II Executive Summary,D. M. Asner et al.,2203.10203,https://arxiv.org/abs/2203.10203,RPF,RPF: General - centered on this frontier,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.10203.pdf
50,arxiv:2203.07564,Belle II Grid-Based User Analysis,J. V. Bennett et al.,2203.07564,https://arxiv.org/abs/2203.07564,CompF,CompF: End User Analysis,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.07564.pdf
51,arxiv:2207.06307,Belle II Physics Reach and Plans for the Next Decade and Beyond,L. Aggarwal et al. (Belle II Collaboration).,2207.06307,https://arxiv.org/abs/2207.06307,EF | RPF,EF: Electroweak Precision Physics and Constraining New Physics | RPF: General - centered on this frontier,2,https://www.slac.stanford.edu/econf/C210711/papers/2207.06307.pdf
52,arxiv:2203.10811,Beyond the Standard Model Effects on Neutrino Flavor,C. A. Argüelles et al.,2203.10811,https://arxiv.org/abs/2203.10811,NF,NF: Neutrinos Beyond the Standard Model,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.10811.pdf
53,arxiv:2203.08973,Big Industry Engagement to Benefit HEP: Microelectronics Support from Large CAD Companies,G. Carini et al.,2203.08973,https://arxiv.org/abs/2203.08973,CEF,CEF: Applications and Industry,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.08973.pdf
54,arxiv:2202.07163,Bootstrapping String Theory,R. Gopakumar et al.,2202.07163,https://arxiv.org/abs/2202.07163,TF,TF: Conformal Field Theory and Formal Quantum Field Theory,1,https://www.slac.stanford.edu/econf/C210711/papers/2202.07163.pdf
55,arxiv:2203.08809,"Broadening the Scope of Education, Career and Open Science in HEP",S. Malik et al.,2203.08809,https://arxiv.org/abs/2203.08809,CEF,CEF: Physics Education,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.08809.pdf
56,arxiv:2203.08106,Broader Impact of Cyclotron-based Neutrino Sources,J. Alonso. (IsoDAR Collaboration),2203.08106,https://arxiv.org/abs/2203.08106,NF,NF: Neutrino Applications,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.08106.pdf
57,arxiv:2205.11730,BSM Higgs Production at a Muon Collider,T. Han et al.,2205.11730,https://arxiv.org/abs/2205.11730,EF | TF,EF: Beyond the Standard Model - Model Specific Explorations | TF: Collider Phenomenology,2,https://www.slac.stanford.edu/econf/C210711/papers/2205.11730.pdf
58,arxiv:2203.06131,BSM Neutrino Physics: Complementarity across Energies,T. Han et al.,2203.06131,https://arxiv.org/abs/2203.06131,EF | RPF | TF,EF: Beyond the Standard Model - Model Specific Explorations | RPF: Baryon and Lepton Number Violation | TF: Theory of Neutrino Physics,3,https://www.slac.stanford.edu/econf/C210711/papers/2203.06131.pdf
59,arxiv:2206.01849,Building a Culture of Equitable Access and Success for Marginalized Members in Today's Particle Physics Community,K. A. Assamagan et al.,2206.01849,https://arxiv.org/abs/2206.01849,CEF,"CEF: Diversity, Equity, and Inclusion",1,https://www.slac.stanford.edu/econf/C210711/papers/2206.01849.pdf
60,arxiv:2110.15800,C3: A 'Cool' Route to the Higgs Boson and Beyond,M. Bai et al.,2110.15800,https://arxiv.org/abs/2110.15800,AF | EF,AF: Accelerators for Electroweak and Higgs | EF: General - centered on this frontier,2,https://www.slac.stanford.edu/econf/C210711/papers/2110.15800.pdf
61,arxiv:2203.09076,C^3 Demonstration Research and Development Plan,E. A. Nanni et al.,2203.09076,https://arxiv.org/abs/2203.09076,AF | CEF,AF: Accelerators for Electroweak and Higgs | CEF: Applications and Industry,2,https://www.slac.stanford.edu/econf/C210711/papers/2203.09076.pdf
62,arxiv:2203.07623,Calibrations and Backgrounds for Dark Matter Direct Detection,D. Baxter et al.,2203.07623,https://arxiv.org/abs/2203.07623,CF,CF: Dark Matter: Particle-like,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.07623.pdf
63,arxiv:2203.09467,Celeritas: GPU-Accelerated Particle Transport for Detector Simulation in High Energy Physics Experiments,S. C. Tognini et al.,2203.09467,https://arxiv.org/abs/2203.09467,CompF,CompF: Theoretical Calculations and Simulations,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.09467.pdf
64,arxiv:2111.11392,Celestial Holography,"S. Pasterski, et al.",2111.11392,https://arxiv.org/abs/2111.11392,TF,TF: Conformal Field Theory and Formal Quantum Field Theory,1,https://www.slac.stanford.edu/econf/C210711/papers/2111.11392.pdf
65,arxiv:2209.03281,Center-of-Mass Energy Determination using e+e−→μ+μ-(γ) Events at Future e+e− Colliders,"B. Madison, G. W. Wilson.",2209.03281,https://arxiv.org/abs/2209.03281,AF | EF | IF,AF: General - cross-listed | EF: General - centered on this frontier | IF: General - cross-listed,3,https://www.slac.stanford.edu/econf/C210711/papers/2209.03281.pdf
66,arxiv:2203.07358,CERC - Circular e+e- Collider using Energy-Recovery Linac,V. N. Litvinenko et al.,2203.07358,https://arxiv.org/abs/2203.07358,AF | EF,AF: Accelerators for Electroweak and Higgs | EF: Higgs Boson Properties and Couplings,2,https://www.slac.stanford.edu/econf/C210711/papers/2203.07358.pdf
67,arxiv:2203.08315,Challenges and Opportunities of SRF Theory for Next Generation Particle Accelerators,A. Gurevich et al.,2203.08315,https://arxiv.org/abs/2203.08315,AF,AF: Accelerator Technology - RF,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.08315.pdf
68,arxiv:2208.12379,Challenges and Opportunities to Assure Future Manufacturing of Magnet Conductors for the Accelerator Sector,L. Cooley et al.,2208.12379,https://arxiv.org/abs/2208.12379,AF,AF: Accelerator Technology - Magnets,1,https://www.slac.stanford.edu/econf/C210711/papers/2208.12379.pdf
69,arxiv:2004.13687,Challenges in Monte Carlo Event Generator Software for High-Luminosity LHC,A. Valassi et al.,2004.13687,https://arxiv.org/abs/2004.13687,CompF | TF,CompF: Theoretical Calculations and Simulations | TF: Collider Phenomenology,2,https://www.slac.stanford.edu/econf/C210711/papers/2004.13687.pdf
70,arxiv:2203.07459,Channeling Acceleration in Crystals and Nanostructures and Studies of Solid Plasmas: New Opportunities,R. Ariniello et al.,2203.07459,https://arxiv.org/abs/2203.07459,AF,AF: Advanced Accelerator Concepts,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.07459.pdf
71,arxiv:2203.14919,Charged Lepton Flavor Violation in the Tau Sector,S. Banerjee et al.,2203.14919,https://arxiv.org/abs/2203.14919,RPF,RPF: Charged Lepton Flavor Violation,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.14919.pdf
72,arxiv:2203.03211,Charm Physics in the High-Luminosity Super Tau-Charm Factory,H.-Y. Cheng et al.,2203.03211,https://arxiv.org/abs/2203.03211,RPF,RPF: Weak Decays of b and c Quarks,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.03211.pdf
73,arxiv:1912.11871,Circular and Linear e+e− Colliders: Another Story of Complementarity,"A. Blondel, P. Janot.",1912.11871,https://arxiv.org/abs/1912.11871,EF,EF: General - centered on this frontier,1,https://www.slac.stanford.edu/econf/C210711/papers/1912.11871.pdf
74,arxiv:2203.09451,Circular Electron Positron Collider (CEPC),CEPC Accelerator Study Group,2203.09451,https://arxiv.org/abs/2203.09451,AF | EF,AF: Accelerators for Electroweak and Higgs | EF: General - centered on this frontier,2,https://www.slac.stanford.edu/econf/C210711/papers/2203.09451.pdf
75,arxiv:2203.12389,Climate Impacts of Particle Physics,K. Bloom et al.,2203.12389,https://arxiv.org/abs/2203.12389,CEF,CEF: Environmental and Societal Impacts,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.12389.pdf
76,arxiv:2204.03713,Climate of the Field: Snowmass 2021,E. V. Hansen et al.,2204.03713,https://arxiv.org/abs/2204.03713,CEF,"CEF: Diversity, Equity, and Inclusion",1,https://www.slac.stanford.edu/econf/C210711/papers/2204.03713.pdf
77,arxiv:2203.05728,CMB-HD White Paper,S. Aiola et al. (CMB-HD Collaboration).,2203.05728,https://arxiv.org/abs/2203.05728,CF,CF: Dark Energy and Cosmic Acceleration: Cosmic Dawn and Before,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.05728.pdf
78,arxiv:1906.10134,"CMB-HD: An Ultra-Deep, High Resolution Millimeter Wave Survey over Half the Sky",N. Sehgal et al.,1906.10134,https://arxiv.org/abs/1906.10134,CF | NF,CF: General - centered on this frontier: | NF: Sterile Neutrinos,2,https://www.slac.stanford.edu/econf/C210711/papers/1906.10134.pdf
79,arxiv:2203.08024,CMB-S4 White Paper,K. Abazajian et al.,2203.08024,https://arxiv.org/abs/2203.08024,CF | IF,CF: General - centered on this frontier: | IF: General - centered on this frontier,2,https://www.slac.stanford.edu/econf/C210711/papers/2203.08024.pdf
80,arxiv:2203.07361,Coherent Elastic Neutrino-Nucleus Scattering: Terrestrial and Astrophysical Applications,M. Abdullah et al.,2203.07361,https://arxiv.org/abs/2203.07361,NF,NF: Neutrinos Beyond the Standard Model,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.07361.pdf
81,arxiv:2203.10161,Collaborative Computing Support for Analysis Facilities Exploiting Software as Infrastructure Techniques,M. Acosta Flechas et al.,2203.10161,https://arxiv.org/abs/2203.10161,CompF,CompF: Storage and Processing Resource Access,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.10161.pdf
82,arxiv:2203.13305,Collider Physics Opportunities of Extended Warped Extra-Dimensional Models,K. Agashe et al.,2203.13305,https://arxiv.org/abs/2203.13305,EF | TF,EF: Beyond the Standard Model - More General Explorations | TF: Collider Phenomenology,2,https://www.slac.stanford.edu/econf/C210711/papers/2203.13305.pdf
83,arxiv:2203.03852,Combined Signatures of Heavy Higgses and Vectorlike Fermions at the HL-LHC,R. Dermisek et al.,2203.03852,https://arxiv.org/abs/2203.03852,EF | TF,EF: Beyond the Standard Model - More General Explorations | TF: Collider Phenomenology,2,https://www.slac.stanford.edu/econf/C210711/papers/2203.03852.pdf
84,arxiv:2207.06507,Comments on Collinear Factorization,G. Sterman.,2207.06507,https://arxiv.org/abs/2207.06507,TF,TF: Collider Phenomenology,1,https://www.slac.stanford.edu/econf/C210711/papers/2207.06507.pdf
85,arxiv:2203.08750,Common Coil Dipole for High Field Magnet Design and R&D,R. Gupta et al.,2203.08750,https://arxiv.org/abs/2203.08750,AF,AF: Accelerator Technology - Magnets,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.08750.pdf
86,arxiv:2111.03096,Comparison of SUSY Spectra Generators for Natural SUSY and String Landscape Predictions,H. Baer et al.,2111.03096,https://arxiv.org/abs/2111.03096,EF,EF: Beyond the Standard Model - Model Specific Explorations,1,https://www.slac.stanford.edu/econf/C210711/papers/2111.03096.pdf
87,arxiv:2203.07455,Complex Scalar Singlet Model Benchmarks for Snowmass,S. Adhikari et al.,2203.07455,https://arxiv.org/abs/2203.07455,EF | TF,EF: Higgs Boson Properties and Couplings | TF: Collider Phenomenology,2,https://www.slac.stanford.edu/econf/C210711/papers/2203.07455.pdf
88,arxiv:2204.04200,Computational Challenges for Multi-Loop Collider Phenomenology,F. Febres Cordero et al.,2204.04200,https://arxiv.org/abs/2204.04200,CompF | TF,CompF: Theoretical Calculations and Simulations | TF: Theory Techniques for Precision Physics,2,https://www.slac.stanford.edu/econf/C210711/papers/2204.04200.pdf
89,arxiv:2204.01072,Conductor Properties and Coil Technology for a Bi2212 Dipole Insert for 20 Tesla Hybrid Accelerator Magnets,E. Barzi.,2204.01072,https://arxiv.org/abs/2204.01072,AF,AF: Accelerator Technology - Magnets,1,https://www.slac.stanford.edu/econf/C210711/papers/2204.01072.pdf
90,arxiv:2203.08275,Continuous and Coordinated Efforts of Structure Wakefield Acceleration (SWFA) Development for an Energy Frontier Machine,C. Jing et al.,2203.08275,https://arxiv.org/abs/2203.08275,AF,AF: Advanced Accelerator Concepts,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.08275.pdf
91,arxiv:2203.06240,Cosmic Frontier: Fundamental Physics and Beyond the Standard Model,E. Berti et al.,2203.06240,https://arxiv.org/abs/2203.06240,CF | TF,CF: Cosmic Probes of Fundamental Physics | TF: Astro-Particle Physics and Cosmology,2,https://www.slac.stanford.edu/econf/C210711/papers/2203.06240.pdf
92,arxiv:2203.07638,Cosmic Microwave Background Measurements White Paper,C. L. Chang et al.,2203.07638,https://arxiv.org/abs/2203.07638,CF | IF | TF,CF: Dark Energy and Cosmic Acceleration: Cosmic Dawn and Before | IF: Radio Detection | TF: Astro-Particle Physics and Cosmology,3,https://www.slac.stanford.edu/econf/C210711/papers/2203.07638.pdf
93,arxiv:2207.02882,Cosmogenic Dark Matter and Exotic Particle Searches in Neutrino Experiments,J. Berger et al.,2207.02882,https://arxiv.org/abs/2207.02882,NF,NF: Neutrinos Beyond the Standard Model,1,https://www.slac.stanford.edu/econf/C210711/papers/2207.02882.pdf
94,arxiv:2203.07049,Cosmological Simulations for Dark Matter Physics,A. Banerjee et al.,2203.07049,https://arxiv.org/abs/2203.07049,CF,CF: Dark Matter: Cosmic Probes,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.07049.pdf
