paper_id,record_id,title,authors_as_listed,source_url,source_version,source_version_url,source_license,source_license_url,license_evidence_url,permits_adaptation,permits_commercial_reuse,license_decision,license_evidence,license_checked_at,translation_status,translation_license,machine_model,human_reviewers,frontiers,topics,notes
arXiv:2203.08033,arxiv:2203.08033,A Muon Collider Facility for Physics Discovery,D. Stratakis et al.,https://arxiv.org/abs/2203.08033,v1,https://arxiv.org/abs/2203.08033v1,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,True,True,eligible-after-attribution-check,arxiv_abs_page,2026-08-09T05:47:02+00:00,not-started,,,,AF | EF,AF: Multi-TeV Colliders | EF: General - centered on this frontier,Adaptation is indicated by the source license; preserve attribution and all license conditions.
arXiv:2203.08278,arxiv:2203.08278,A New Charged Lepton Flavor Violation Program at Fermilab,M. Aoki et al.,https://arxiv.org/abs/2203.08278,v1,https://arxiv.org/abs/2203.08278v1,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,True,True,eligible-after-attribution-check,arxiv_abs_page,2026-08-09T05:47:02+00:00,not-started,,,,RPF,RPF: Charged Lepton Flavor Violation,Adaptation is indicated by the source license; preserve attribution and all license conditions.
arXiv:2203.02309,arxiv:2203.02309,A Next-Generation Liquid Xenon Observatory for Dark Matter and Neutrino Physics,J. Aalbers et al.,https://arxiv.org/abs/2203.02309,v1,https://arxiv.org/abs/2203.02309v1,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,True,True,eligible-after-attribution-check,arxiv_abs_page,2026-08-09T05:47:08+00:00,not-started,,,,CF | IF | NF | RPF | UF,CF: Dark Matter: Particle-like | IF: Noble Element-Based Detectors | NF: Neutrinos from Natural Sources | RPF: Fundamental Physics in Small Experiments | UF: Underground Detectors,Adaptation is indicated by the source license; preserve attribution and all license conditions.
arXiv:2112.09548,arxiv:2112.09548,A Note on Blind Technique for New Physics Searches in Particle Physics,S. V. Chekanov et al.,https://arxiv.org/abs/2112.09548,v1,https://arxiv.org/abs/2112.09548v1,ARXIV-NONEXCLUSIVE-DISTRIB-1.0,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,,,hold-manual-license-review,arxiv_abs_page,2026-08-09T05:47:10+00:00,not-started,,,,EF,EF: Beyond the Standard Model - More General Explorations,Manual source-license review is required before publishing a full translation.
arXiv:2203.08210,arxiv:2203.08210,A Short Overview on Low Mass Scalars at Future Lepton Colliders,T. Robens.,https://arxiv.org/abs/2203.08210,v1,https://arxiv.org/abs/2203.08210v1,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,True,True,eligible-after-attribution-check,arxiv_abs_page,2026-08-09T05:47:03+00:00,not-started,,,,EF | TF,EF: Higgs Boson as a Portal to New Physics | TF: Collider Phenomenology,Adaptation is indicated by the source license; preserve attribution and all license conditions.
arXiv:2209.03585,arxiv:2209.03585,"A Spectroscopic Road Map for Cosmic Frontier: DESI, DESI-II, Stage-5",D. J. Schlegel et al.,https://arxiv.org/abs/2209.03585,v1,https://arxiv.org/abs/2209.03585v1,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,True,True,eligible-after-attribution-check,arxiv_abs_page,2026-08-09T05:47:05+00:00,not-started,,,,CF,CF: Dark Energy and Cosmic Acceleration: Complementarity of Probes and New Facilities,Adaptation is indicated by the source license; preserve attribution and all license conditions.
arXiv:2203.13985,arxiv:2203.13985,A Strategic Approach to Advance Magnet Technology for Next Generation Colliders,G. Ambrosio et al.,https://arxiv.org/abs/2203.13985,v1,https://arxiv.org/abs/2203.13985v1,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,True,True,eligible-after-attribution-check,arxiv_abs_page,2026-08-09T05:47:04+00:00,not-started,,,,AF,AF: Accelerator Technology - Magnets,Adaptation is indicated by the source license; preserve attribution and all license conditions.
arXiv:2203.08463,arxiv:2203.08463,A Strategy for Low-Mass Dark Matter Searches with Cryogenic Detectors in the SuperCDMS SNOLAB Facility,M. F. Albakry et al.,https://arxiv.org/abs/2203.08463,v3,https://arxiv.org/abs/2203.08463v3,CC-BY-NC-ND-4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://creativecommons.org/licenses/by-nc-nd/4.0/,False,False,hold-no-public-adaptation,arxiv_abs_page,2026-08-09T05:47:04+00:00,not-started,,,,CF | IF | NF | UF,CF: Dark Matter: Particle-like | IF: Quantum Sensors | NF: Neutrinos Beyond the Standard Model | UF: Underground Detectors,Manual source-license review is required before publishing a full translation.
arXiv:2203.07287,arxiv:2203.07287,A TPC-based Tracking System for a Future Belle II Upgrade,A. Löschke Centeno et al.,https://arxiv.org/abs/2203.07287,v1,https://arxiv.org/abs/2203.07287v1,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,True,True,eligible-after-attribution-check,arxiv_abs_page,2026-08-09T05:47:07+00:00,not-started,,,,IF,IF: Micro Pattern Gas Detectors,Adaptation is indicated by the source license; preserve attribution and all license conditions.
arXiv:2203.13998,arxiv:2203.13998,A Work Proposal for a Collaborative Study of Magnet Technology for a Future Muon Collider,L. Bottura et al.,https://arxiv.org/abs/2203.13998,v2,https://arxiv.org/abs/2203.13998v2,ARXIV-NONEXCLUSIVE-DISTRIB-1.0,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,,,hold-manual-license-review,arxiv_abs_page,2026-08-09T05:47:10+00:00,not-started,,,,AF,AF: Accelerator Technology - Magnets,Manual source-license review is required before publishing a full translation.
arXiv:2203.06816,arxiv:2203.06816,Accelerator and Beam Physics: Grand Challenges and Research Opportunities,S. Nagaitsev et al.,https://arxiv.org/abs/2203.06816,v1,https://arxiv.org/abs/2203.06816v1,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,True,True,eligible-after-attribution-check,arxiv_abs_page,2026-08-09T05:47:07+00:00,not-started,,,,AF,AF: Beam Physics and Accelerator Education,Adaptation is indicated by the source license; preserve attribution and all license conditions.
arXiv:2203.08335,arxiv:2203.08335,Accelerator Modeling Community White Paper,S. Biedron et al.,https://arxiv.org/abs/2203.08335,v4,https://arxiv.org/abs/2203.08335v4,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,True,True,eligible-after-attribution-check,arxiv_abs_page,2026-08-09T05:47:07+00:00,not-started,,,,AF | CompF,AF: General - centered on this frontier | CompF: Theoretical Calculations and Simulations,Adaptation is indicated by the source license; preserve attribution and all license conditions.
arXiv:2203.08748,arxiv:2203.08748,Accessibility in High Energy Physics: Lessons from the Snowmass Process,K. A. Assamagan et al.,https://arxiv.org/abs/2203.08748,v3,https://arxiv.org/abs/2203.08748v3,CC-BY-NC-SA-4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,True,False,eligible-noncommercial-only-after-sharealike-check,arxiv_abs_page,2026-08-09T05:47:07+00:00,not-started,,,,CEF,"CEF: Diversity, Equity, and Inclusion",Adaptation is indicated by the source license; preserve attribution and all license conditions.
arXiv:2203.04391,arxiv:2203.04391,Adaptive Machine Learning for Time-Varying Systems: Towards 6D Phase Space Diagnostics of Short Intense Charged Particle Beams,"A. Scheinker, S. Gessner.",https://arxiv.org/abs/2203.04391,v2,https://arxiv.org/abs/2203.04391v2,ARXIV-NONEXCLUSIVE-DISTRIB-1.0,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,,,hold-manual-license-review,arxiv_abs_page,2026-08-09T05:47:06+00:00,not-started,,,,AF | CompF,AF: Beam Physics and Accelerator Education | CompF: Machine Learning,Manual source-license review is required before publishing a full translation.
arXiv:2212.09524,arxiv:2212.09524,Adding Stroboscopic Muon Information For Reduction of Systematic Uncertainties in DUNE,H. J. Frisch,https://arxiv.org/abs/2212.09524,v1,https://arxiv.org/abs/2212.09524v1,ARXIV-NONEXCLUSIVE-DISTRIB-1.0,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,,,hold-manual-license-review,arxiv_abs_page,2026-08-09T05:47:08+00:00,not-started,,,,IF | NF,IF: Cross-Cutting Issues and Systems Integration | NF: Neutrino Detectors,Manual source-license review is required before publishing a full translation.
arXiv:2203.08425,arxiv:2203.08425,Advanced Accelerator Linear Collider Demonstration Facility at Intermediate Energy,C. Benedetti et al.,https://arxiv.org/abs/2203.08425,v3,https://arxiv.org/abs/2203.08425v3,ARXIV-NONEXCLUSIVE-DISTRIB-1.0,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,,,hold-manual-license-review,arxiv_abs_page,2026-08-09T05:47:10+00:00,not-started,,,,AF,AF: Advanced Accelerator Concepts,Manual source-license review is required before publishing a full translation.
arXiv:2203.15984,arxiv:2203.15984,Advanced RF Sources R&D for Economical Future Colliders,B. Weatherford et al.,https://arxiv.org/abs/2203.15984,v1,https://arxiv.org/abs/2203.15984v1,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,True,True,eligible-after-attribution-check,arxiv_abs_page,2026-08-09T05:47:07+00:00,not-started,,,,AF,AF: Accelerator Technology - RF,Adaptation is indicated by the source license; preserve attribution and all license conditions.
arXiv:2203.08374,arxiv:2203.08374,Advanced RF Structures for Wakefield Acceleration and High-Gradient Research,X. Lu et al.,https://arxiv.org/abs/2203.08374,v3,https://arxiv.org/abs/2203.08374v3,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,True,True,eligible-after-attribution-check,arxiv_abs_page,2026-08-09T05:47:15+00:00,not-started,,,,AF,AF: Accelerator Technology - RF,Adaptation is indicated by the source license; preserve attribution and all license conditions.
arXiv:2203.08869,arxiv:2203.08869,Advancing Superconducting Magnet Diagnostics for Future Colliders,M. Marchevsky et al.,https://arxiv.org/abs/2203.08869,v1,https://arxiv.org/abs/2203.08869v1,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,True,True,eligible-after-attribution-check,arxiv_abs_page,2026-08-09T05:47:13+00:00,not-started,,,,AF,AF: Accelerator Technology - Magnets,Adaptation is indicated by the source license; preserve attribution and all license conditions.
arXiv:2203.10074,arxiv:2203.10074,Advancing the Landscape of Multimessenger Science in the Next Decade,K. Engel et al.,https://arxiv.org/abs/2203.10074,v1,https://arxiv.org/abs/2203.10074v1,ARXIV-NONEXCLUSIVE-DISTRIB-1.0,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,,,hold-manual-license-review,arxiv_abs_page,2026-08-09T05:51:58+00:00,not-started,,,,CF,CF: Cosmic Probes of Fundamental Physics,Manual source-license review is required before publishing a full translation.
arXiv:2203.05052,arxiv:2203.05052,An 8 GeV Linac as the Booster Replacement in the Fermilab Power Upgrade,S. Belomestnykh et al.,https://arxiv.org/abs/2203.05052,v3,https://arxiv.org/abs/2203.05052v3,CC-BY-SA-4.0,https://creativecommons.org/licenses/by-sa/4.0/,https://creativecommons.org/licenses/by-sa/4.0/,True,True,eligible-after-sharealike-check,arxiv_abs_page,2026-08-09T05:47:12+00:00,not-started,,,,AF | NF,AF: Accelerators for Neutrinos | NF: Artificial Neutrino Sources,Adaptation is indicated by the source license; preserve attribution and all license conditions.
arXiv:2203.09718,arxiv:2203.09718,An Impartial Perspective for Superconducting Nb3Sn coated Copper RF Cavities for Future Accelerators,E. Barzi et al.,https://arxiv.org/abs/2203.09718,v4,https://arxiv.org/abs/2203.09718v4,ARXIV-NONEXCLUSIVE-DISTRIB-1.0,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,,,hold-manual-license-review,arxiv_abs_page,2026-08-09T05:47:20+00:00,not-started,,,,AF | EF | RPF,AF: Accelerators for Electroweak and Higgs | EF: General - cross-listed | RPF: General - cross-listed,Manual source-license review is required before publishing a full translation.
arXiv:2106.02133,arxiv:2106.02133,An Upgrade Path for the Fermilab Accelerator Complex,R. Ainsworth et al.,https://arxiv.org/abs/2106.02133,v3,https://arxiv.org/abs/2106.02133v3,CC-BY-NC-SA-4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,True,False,eligible-noncommercial-only-after-sharealike-check,arxiv_abs_page,2026-08-09T05:47:09+00:00,not-started,,,,AF | NF,AF: Accelerators for Neutrinos | NF: Artificial Neutrino Sources,Adaptation is indicated by the source license; preserve attribution and all license conditions.
arXiv:2203.08811,arxiv:2203.08811,Analysis Cyberinfrastructure: Challenges and Opportunities,K. Lannon et al.,https://arxiv.org/abs/2203.08811,v1,https://arxiv.org/abs/2203.08811v1,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,True,True,eligible-after-attribution-check,arxiv_abs_page,2026-08-09T05:47:11+00:00,not-started,,,,CompF,CompF: Storage and Processing Resource Access,Adaptation is indicated by the source license; preserve attribution and all license conditions.
arXiv:2203.09886,arxiv:2203.09886,Analysis Description Language: A DSL for HEP Analysis,H. B. Prosper et al.,https://arxiv.org/abs/2203.09886,v1,https://arxiv.org/abs/2203.09886v1,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,True,True,eligible-after-attribution-check,arxiv_abs_page,2026-08-09T05:47:17+00:00,not-started,,,,CompF,CompF: End User Analysis,Adaptation is indicated by the source license; preserve attribution and all license conditions.
arXiv:2203.08010,arxiv:2203.08010,Analysis Facilities for HL-LHC,D. Benjamin et al.,https://arxiv.org/abs/2203.08010,v2,https://arxiv.org/abs/2203.08010v2,ARXIV-NONEXCLUSIVE-DISTRIB-1.0,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,,,hold-manual-license-review,arxiv_abs_page,2026-08-09T05:47:12+00:00,not-started,,,,CompF,CompF: Storage and Processing Resource Access,Manual source-license review is required before publishing a full translation.
arXiv:2203.03700,arxiv:2203.03700,Angular Cuts to Reduce the tau taubar+jet Background to the Higgsino Signal at the LHC,H. Baer et al.,https://arxiv.org/abs/2203.03700,v1,https://arxiv.org/abs/2203.03700v1,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,True,True,eligible-after-attribution-check,arxiv_abs_page,2026-08-09T05:47:12+00:00,not-started,,,,EF,EF: Beyond the Standard Model - Model Specific Explorations,Adaptation is indicated by the source license; preserve attribution and all license conditions.
arXiv:2203.08135,arxiv:2203.08135,Anomalous Quartic Gauge Couplings at a Muon Collider,B. Abbott et al.,https://arxiv.org/abs/2203.08135,v3,https://arxiv.org/abs/2203.08135v3,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,True,True,eligible-after-attribution-check,arxiv_abs_page,2026-08-09T05:47:16+00:00,not-started,,,,EF,EF: Electroweak Precision Physics and Constraining New Physics,Adaptation is indicated by the source license; preserve attribution and all license conditions.
arXiv:2203.14706,arxiv:2203.14706,"Application-Driven Engagement with Universities, Synergies with other Funding Agencies","J. Hoff, S. Memik.",https://arxiv.org/abs/2203.14706,v1,https://arxiv.org/abs/2203.14706v1,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,True,True,eligible-after-attribution-check,arxiv_abs_page,2026-08-09T05:47:17+00:00,not-started,,,,CEF,CEF: Applications and Industry,Adaptation is indicated by the source license; preserve attribution and all license conditions.
arXiv:2202.05838,arxiv:2202.05838,Applications of Machine Learning to Lattice Quantum Field Theory,D. Boyda et al.,https://arxiv.org/abs/2202.05838,v1,https://arxiv.org/abs/2202.05838v1,ARXIV-NONEXCLUSIVE-DISTRIB-1.0,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,,,hold-manual-license-review,arxiv_abs_page,2026-08-09T05:47:13+00:00,not-started,,,,CompF | TF,CompF: Machine Learning | TF: Lattice Gauge Theory,Manual source-license review is required before publishing a full translation.
arXiv:2203.06380,arxiv:2203.06380,Astrophysical and Cosmological Probes of Dark Matter,K. K. Boddy et al.,https://arxiv.org/abs/2203.06380,v1,https://arxiv.org/abs/2203.06380v1,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,True,True,eligible-after-attribution-check,arxiv_abs_page,2026-08-09T05:47:15+00:00,not-started,,,,TF,TF: Astro-Particle Physics and Cosmology,Adaptation is indicated by the source license; preserve attribution and all license conditions.
arXiv:2203.09198,arxiv:2203.09198,"AWAKE, Plasma Wakefield Acceleration of Electron Bunches for Near and Long Term Particle Physics Applications",P. Muggli (AWAKE Collaboration),https://arxiv.org/abs/2203.09198,v2,https://arxiv.org/abs/2203.09198v2,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,True,True,eligible-after-attribution-check,arxiv_abs_page,2026-08-09T05:47:17+00:00,not-started,,,,AF,AF: Advanced Accelerator Concepts,Adaptation is indicated by the source license; preserve attribution and all license conditions.
arXiv:2203.14923,arxiv:2203.14923,Axion Dark Matter,J. Jaeckel et al.,https://arxiv.org/abs/2203.14923,v3,https://arxiv.org/abs/2203.14923v3,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,True,True,eligible-after-attribution-check,arxiv_abs_page,2026-08-09T05:47:14+00:00,not-started,,,,AF | CF | IF | RPF | TF,AF: Accelerators for Rare Processes and Physics Beyond Colliders | CF: Dark Matter: Wave-like | IF: Quantum Sensors | RPF: Fundamental Physics in Small Experiments | TF: Astro-Particle Physics and Cosmology,Adaptation is indicated by the source license; preserve attribution and all license conditions.
arXiv:2203.05484,arxiv:2203.05484,Axion-Like Particles at High Energy Muon Colliders,T. Han et al.,https://arxiv.org/abs/2203.05484,v1,https://arxiv.org/abs/2203.05484v1,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,True,True,eligible-after-attribution-check,arxiv_abs_page,2026-08-09T05:47:15+00:00,not-started,,,,AF | EF | TF,AF: Multi-TeV Colliders | EF: Beyond the Standard Model - More General Explorations | TF: Collider Phenomenology,Adaptation is indicated by the source license; preserve attribution and all license conditions.
arXiv:2203.02760,arxiv:2203.02760,Azimuthal Angular Correlation as a New Boosted Top Jet Substructure,"Z. Yu, C.-P. Yuan.",https://arxiv.org/abs/2203.02760,v2,https://arxiv.org/abs/2203.02760v2,ARXIV-NONEXCLUSIVE-DISTRIB-1.0,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,,,hold-manual-license-review,arxiv_abs_page,2026-08-09T05:47:20+00:00,not-started,,,,EF,EF: Heavy Flavor and Top Quark Physics,Manual source-license review is required before publishing a full translation.
arXiv:2209.03505,arxiv:2209.03505,Background Monte Carlo Samples for a Future Hadron Collider,R. Gardner et al.,https://arxiv.org/abs/2209.03505,v1,https://arxiv.org/abs/2209.03505v1,ARXIV-NONEXCLUSIVE-DISTRIB-1.0,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,,,hold-manual-license-review,arxiv_abs_page,2026-08-09T05:47:17+00:00,not-started,,,,EF,EF: General - centered on this frontier,Manual source-license review is required before publishing a full translation.
arXiv:2203.05731,arxiv:2203.05731,Beam background expectations for Belle II at SuperKEKB,A. Natochii et al.,https://arxiv.org/abs/2203.05731,v3,https://arxiv.org/abs/2203.05731v3,ARXIV-NONEXCLUSIVE-DISTRIB-1.0,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,,,hold-manual-license-review,arxiv_abs_page,2026-08-09T05:47:17+00:00,not-started,,,,AF,AF: Accelerators for Rare Processes and Physics Beyond Colliders,Manual source-license review is required before publishing a full translation.
arXiv:2203.11290,arxiv:2203.11290,Beam Test Facilities for R&D in Accelerator Science and Technologies,J. Power et al.,https://arxiv.org/abs/2203.11290,v1,https://arxiv.org/abs/2203.11290v1,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,True,True,eligible-after-attribution-check,arxiv_abs_page,2026-08-09T05:47:22+00:00,not-started,,,,AF,AF: General - centered on this frontier,Adaptation is indicated by the source license; preserve attribution and all license conditions.
arXiv:2203.10203,arxiv:2203.10203,Belle II Executive Summary,D. M. Asner et al.,https://arxiv.org/abs/2203.10203,v2,https://arxiv.org/abs/2203.10203v2,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,True,True,eligible-after-attribution-check,arxiv_abs_page,2026-08-09T05:52:03+00:00,not-started,,,,RPF,RPF: General - centered on this frontier,Adaptation is indicated by the source license; preserve attribution and all license conditions.
